,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67
22804x_dCD3_028.fcs,,,1448,1193,506,875,1815,3120,1163
123720_aNil_018.fcs,,,1020,1366,437,897,1036,2712,1213
123720_bBCG_019.fcs,,,2495,1489,373,840,1016,5701,1147
"123720_cE,2f,C_020.fcs",,,7189,1345,412,910,1012,17449,1141
123720_dCD3_021.fcs,,,1434,1227,377,842,1036,3120,1156
224320_aNil_037.fcs,,,828,1579,444,890,956,2712,1188
224320_bBCG_038.fcs,,,3518,1979,384,853,980,3259,1136
"224320_cE,2f,C_040.fcs",,,1481,1555,460,828,974,2119,1159
224320_dCD3_039.fcs,,,1295,1432,358,877,1026,3028,1138
225120_aNil_031.fcs,,,824,1627,641,1183,1168,2877,1138
225120_bBCG_032.fcs,,,875,1484,676,1053,1242,2428,1150
"225120_cE,2f,C_033.fcs",,,1677,1464,880,1016,992,1501,1141
225120_dCD3_034.fcs,,,1004,968,679,984,1379,3462,1150
22xx_BCG_020.fcs,,,1127,1961,4263,856,1287,1895,1410
"22xx_E,2f,C_019.fcs",,,745,1410,5849,627,1462,2052,1453
22xx_Nil_018.fcs,,,826,1448,16420,685,1320,2040,1368
22xx_SEB_021.fcs,,,5093,1348,3259,683,1290,2588,1350
10411_BCG_024.fcs,,,6614,2173,6703,608,6054,8973,1561
"10411_E,2f,C_023.fcs",,,1768,2148,6067,978,5737,3686,1541
